Algorithm,InputType,Size,TimeNs,RecursionDepth,Comparisons
MergeSort,Random,100,70488,4,588
QuickSort,Random,100,115497,4,590
DeterministicSelect,Random,100,57176,7,678
MergeSort,Sorted,100,30545,4,99
QuickSort,Sorted,100,39633,4,768
DeterministicSelect,Sorted,100,35927,6,509
MergeSort,ReverseSorted,100,49688,4,475
QuickSort,ReverseSorted,100,61957,5,723
DeterministicSelect,ReverseSorted,100,44736,7,729
MergeSort,Duplicates,100,45496,4,564
QuickSort,Duplicates,100,86891,4,982
DeterministicSelect,Duplicates,100,45637,11,668
ClosestPair,Random,100,774410,5,1138
MergeSort,Random,500,305398,6,4143
QuickSort,Random,500,83569,5,4382
DeterministicSelect,Random,500,226088,8,3620
MergeSort,Sorted,500,38801,6,499
QuickSort,Sorted,500,68525,5,5138
DeterministicSelect,Sorted,500,134090,9,2848
MergeSort,ReverseSorted,500,313126,6,3255
QuickSort,ReverseSorted,500,71269,6,4589
DeterministicSelect,ReverseSorted,500,84930,9,4020
MergeSort,Duplicates,500,72269,6,3951
QuickSort,Duplicates,500,149627,3,14044
DeterministicSelect,Duplicates,500,87538,16,3441
ClosestPair,Random,500,2801513,7,7848
MergeSort,Random,1000,171484,7,9243
QuickSort,Random,1000,180624,6,10835
DeterministicSelect,Random,1000,135297,9,7543
MergeSort,Sorted,1000,12530,7,999
QuickSort,Sorted,1000,120322,6,10711
DeterministicSelect,Sorted,1000,106551,10,5856
MergeSort,ReverseSorted,1000,188178,7,7011
QuickSort,ReverseSorted,1000,231028,7,10149
DeterministicSelect,ReverseSorted,1000,451667,9,8082
MergeSort,Duplicates,1000,175449,7,8856
QuickSort,Duplicates,1000,385941,3,53195
DeterministicSelect,Duplicates,1000,140895,27,8614
ClosestPair,Random,1000,2930075,8,17762
MergeSort,Random,5000,1163448,9,59171
QuickSort,Random,5000,444556,8,69480
DeterministicSelect,Random,5000,433703,12,38333
MergeSort,Sorted,5000,55845,9,4999
QuickSort,Sorted,5000,241769,7,77683
DeterministicSelect,Sorted,5000,1002186,12,30133
MergeSort,ReverseSorted,5000,667181,9,44835
QuickSort,ReverseSorted,5000,290038,8,67134
DeterministicSelect,ReverseSorted,5000,560646,12,42507
MergeSort,Duplicates,5000,914361,9,56747
QuickSort,Duplicates,5000,1164880,3,1273560
DeterministicSelect,Duplicates,5000,29148139,511,3466536
ClosestPair,Random,5000,13663239,11,115804
MergeSort,Random,10000,3974780,10,128144
QuickSort,Random,10000,1798978,9,159635
DeterministicSelect,Random,10000,398463,13,72484
MergeSort,Sorted,10000,93558,10,9999
QuickSort,Sorted,10000,2312509,9,169168
DeterministicSelect,Sorted,10000,420765,13,57510
MergeSort,ReverseSorted,10000,2800308,10,94671
QuickSort,ReverseSorted,10000,3061826,8,166121
DeterministicSelect,ReverseSorted,10000,530531,13,86223
MergeSort,Duplicates,10000,3064160,10,122735
QuickSort,Duplicates,10000,11225321,3,5037232
DeterministicSelect,Duplicates,10000,54707429,223,9312973
ClosestPair,Random,10000,31301926,12,251711
MergeSort,Random,50000,6518068,13,736973
QuickSort,Random,50000,5510838,11,900233
DeterministicSelect,Random,50000,2437943,15,404468
MergeSort,Sorted,50000,433913,13,49999
QuickSort,Sorted,50000,2844592,10,939584
DeterministicSelect,Sorted,50000,956764,16,291437
MergeSort,ReverseSorted,50000,2886990,13,459631
QuickSort,ReverseSorted,50000,4102732,10,960147
DeterministicSelect,ReverseSorted,50000,2215222,16,439626
MergeSort,Duplicates,50000,5487763,13,707608
QuickSort,Duplicates,50000,111127571,4,125195518
DeterministicSelect,Duplicates,50000,3252050640,1016,1562783840
